NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP2000,POP2001,POP00_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS97,AVG_SIZE97,CROP_ACR97,AVG_SALE97
Snohomish,Washington,53,061,53061,2108.09114,606024,622045,287.5,518948,10113,8250,35030,1705,11629,20349,28590,303209,302815,43461,122678,30275,62075,103827,102855,85449,55404,34.7,33.9,35.4,224852,2.65,24005,26815,63246,62711,5855,14662,157820,3.13,236205,11353,152382,72470,1139,53,39931,99.11
King,Washington,53,033,53033,2189.67059,1737034,1754673,793.3,1315507,93875,15922,187745,9013,44473,70499,95242,864457,872577,105321,285325,88823,213659,308187,292470,261477,181772,35.7,34.9,36.6,710916,2.39,102143,115020,150574,179194,12752,38571,419959,3.03,742237,31321,425436,285480,1091,38,24243,85.97
Pierce,Washington,53,053,53053,1692.91107,700820,715733,414.0,549369,48730,9963,35583,5922,15410,35843,38621,348557,352263,49861,140708,41200,75503,112648,109889,99391,71620,34.1,33.1,35.1,260800,2.60,29664,33832,65774,71899,7363,20534,180199,3.10,277060,16260,165598,95202,989,51,23811,70.61
