ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
32827,ORLANDO,FL,2003,Orlando,123,6698,,171000,132,7591,,239239,36740,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,23,15,8,25,15,10,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,153,15,125,132,2.21,-0.32,3.70,5.60,72
32836,ORLANDO,FL,11706,Orlando,205,3443,,60821,279,3673,,75318,36740,6,6,0,3,3,0,366249,187700,178549,352619,181948,170671,82,54,28,89,80,9,1786327,1432035,354292,1878709,1492857,385852,23,22,1,11,10,1,120552,78486,42066,137293,89935,47358,161,18,232,279,2.21,1.48,16.57,20.26,73
32824,ORLANDO,FL,21186,Orlando,390,8910,,246964,428,9595,,305342,36740,38,10,28,38,15,23,366249,187700,178549,352619,181948,170671,66,43,23,75,52,23,1786327,1432035,354292,1878709,1492857,385852,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,150,20,435,428,2.21,-1.05,-2.77,-1.61,74
32837,ORLANDO,FL,37128,Orlando,552,6665,,174259,720,10478,,274468,36740,30,22,8,28,15,13,366249,187700,178549,352619,181948,170671,178,143,35,209,168,41,1786327,1432035,354292,1878709,1492857,385852,16,16,0,9,7,2,120552,78486,42066,137293,89935,47358,162,18,948,720,2.21,-0.20,-26.06,-24.05,75
32830,ORLANDO,FL,29,Orlando,230,68722,,1510144,234,65271,,1645893,36740,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,56,22,34,50,20,30,1786327,1432035,354292,1878709,1492857,385852,10,6,4,14,4,10,120552,78486,42066,137293,89935,47358,156,18,237,234,2.21,1.08,-4.56,-1.27,76
32821,ORLANDO,FL,14447,Orlando,262,10817,,246009,361,14807,,327595,36740,1,1,0,1,0,1,366249,187700,178549,352619,181948,170671,91,62,29,119,79,40,1786327,1432035,354292,1878709,1492857,385852,2,2,0,5,5,0,120552,78486,42066,137293,89935,47358,148,20,280,361,2.21,1.08,25.63,28.93,77
34747,KISSIMMEE,FL,5900,Orlando,214,11557,,254210,292,12843,,323075,36740,1,0,1,1,0,1,366249,187700,178549,352619,181948,170671,157,98,59,105,77,28,1786327,1432035,354292,1878709,1492857,385852,13,9,4,11,11,0,120552,78486,42066,137293,89935,47358,300,17,399,292,2.21,1.60,-30.63,-26.82,78
32709,CHRISTMAS,FL,2403,Orlando,30,202,,3226,42,229,,4139,36740,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,5,3,2,6,5,1,1450361,1156756,293605,1524147,1203802,320345,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,108,13,39,42,2.21,-0.60,6.08,7.69,79
34743,KISSIMMEE,FL,27979,Orlando,102,828,,11696,128,835,,14417,36740,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,47,39,8,39,35,4,1742649,1410483,332166,1831150,1468265,362885,2,1,1,2,1,1,120552,78486,42066,137293,89935,47358,297,15,121,128,2.21,0.44,3.14,5.79,80
34746,KISSIMMEE,FL,19149,Orlando,497,9162,,136174,468,7762,,142997,36740,5,4,1,3,3,0,366249,187700,178549,352619,181948,170671,89,68,21,98,79,19,1786327,1432035,354292,1878709,1492857,385852,6,6,0,5,5,0,120552,78486,42066,137293,89935,47358,299,18,497,508,2.21,0.19,-0.19,2.21,81
