NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP2000,POP2001,POP00_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS97,AVG_SIZE97,CROP_ACR97,AVG_SALE97
Berkeley,South Carolina,45,015,45015,1228.28724,142651,145007,116.1,96997,37985,748,2671,114,1718,2418,3935,72462,70189,10242,29683,10673,16388,22544,21346,20514,11261,32.0,30.3,33.9,49922,2.75,4797,4900,13831,14474,1318,4409,37696,3.15,54717,4795,37052,12870,292,176,18227,75.77
Dorchester,South Carolina,45,035,45035,576.15368,96413,99547,167.3,68498,24176,703,1086,66,570,1314,1722,47184,49229,6470,21373,4421,9186,16201,15307,14664,8791,34.7,33.5,35.6,34709,2.72,3056,3950,9873,9982,768,3255,26293,3.13,37237,2528,26023,8686,314,208,37521,68.49
Charleston,South Carolina,45,019,45019,986.22263,309969,311837,314.3,191928,106918,813,3463,172,3071,3604,7434,149787,160182,19806,53768,21984,39336,46464,45442,46311,36858,34.5,32.8,36.0,123326,2.42,15410,19506,22070,31160,1975,11305,77416,3.01,141031,17705,75267,48059,266,166,17297,100.97
