districtID,ln_NTLpw2013,ln_NTLpw2020,ln_invSh2013,ln_invSh2020,ln_tert2013,ln_tert2020,ln_ngr2013,ln_ngr2020
3502,-6.1644311,-4.8439445,-1.3268554,-1.3326341,-2.987395,-2.3444004,-.0093438411,.028205523
3503,-6.8725853,-5.3744564,-1.6368958,-1.6428016,-3.5880246,-2.6739902,.017566519,.052365907
3504,-5.5118489,-4.6846042,-1.3090498,-1.2975001,-3.1602917,-2.3467822,.010749272,.060022581
3505,-5.3393292,-4.570467,-1.2798827,-1.2955444,-2.9046474,-2.6093581,-.0029751915,-.0069209985
3506,-5.5863328,-4.6069407,-1.2235057,-1.1897587,-3.1437826,-2.5516546,-.00074299186,.010625203
3507,-4.8565912,-4.4355006,-1.185119,-1.2016561,-3.5447552,-2.4681871,.0042495471,.046693575
3508,-5.1325002,-4.6885567,-1.5585052,-1.5696523,-3.6460757,-3.0110419,-.0097476421,.034219131
3509,-4.7841768,-4.3213453,-1.694495,-1.6814097,-3.5261581,-2.7902889,.035568859,.037019003
3510,-5.1603918,-3.488024,-1.2263023,-1.1592658,-3.6944332,-2.571728,.0097894827,.017922416
3511,-5.113225,-4.7577724,-1.3929025,-1.4103966,-3.1040833,-2.7411611,-.021977197,.011069092
3512,-5.2046814,-4.3505363,-1.4298795,-1.442361,-3.2125421,-2.4626079,.0093679223,.032932226
3513,-4.7398334,-4.3811126,-1.2459263,-1.2692634,-3.20784,-3.0317783,-.0078813527,.08474154
3514,-4.7006717,-4.0841131,-1.0858546,-1.0713001,-3.1607425,-2.7863233,.033658989,.0089139724
3515,-4.4904985,-3.772593,-1.0577257,-1.1453832,-2.0078914,-1.6390319,.064470246,.038615938
3516,-4.6425452,-3.3707528,-1.3314254,-1.3643436,-3.0337064,-2.439126,-.00089025346,.033832077
3517,-5.1527004,-4.3140655,-1.1855001,-1.2013549,-2.9652221,-2.3860085,-.013400256,.012946094
3518,-6.332787,-4.7274332,-1.2904934,-1.2751344,-2.9870615,-2.6210451,.047891214,.0058867414
3519,-5.6433368,-4.5253921,-1.2230662,-1.1179506,-3.2201436,-2.3699718,.01478651,.035365902
3520,-5.6867046,-4.68643,-1.5043908,-1.5229512,-2.4964755,-2.3864565,.0024341289,.041167166
3521,-5.8270102,-4.5137725,-1.6038208,-1.5220352,-3.3595111,-2.6758046,.12273716,.033445191
3522,-4.962502,-4.1422811,-1.5940062,-1.8207129,-3.6896324,-2.4963493,.06645488,.06518501
3523,-4.0874476,-3.9038186,-.97106069,-.99555814,-3.5562057,-2.7200942,.071854033,.06603013
3524,-5.1262083,-4.2011247,-1.1406125,-1.1866354,-3.0990644,-2.1284182,.040158395,.05606655
3525,-4.2417741,-3.6021814,-1.5067383,-1.4601061,-2.1284053,-1.9785196,.10553302,.042398904
3526,-4.896193,-3.9553087,-1.4481438,-1.2278489,-3.5395453,-2.8646798,.042442065,.027172029
3527,-5.3842559,-3.9169345,-1.4064189,-1.2817132,-3.4928374,-2.8618188,-.015155663,-.0062723015
3528,-5.0987349,-3.8692961,-1.2029831,-1.2104154,-2.9622362,-2.3340051,.045909647,-.036202483
3529,-5.6405201,-4.4820848,-1.5392702,-1.4056897,-3.6181538,-2.9195321,.0032510678,.0042745243
3571,-5.2325816,-4.4531851,-1.6384443,-1.6806337,-2.0885494,-1.4039518,-.01485838,.044621933
3572,-4.6530137,-4.3492446,-1.5981455,-1.6584729,-1.6922345,-1.6540142,.055098552,-.010852997
3573,-4.7855506,-4.4118309,-1.3608643,-1.1196234,-1.8903723,-1.4008707,.049775232,.026689038
3574,-4.2612009,-4.1587081,-1.6563706,-1.6536375,-2.0179727,-1.7248843,-.027572598,.10464243
3575,-4.9214196,-4.3126798,-1.5744228,-1.5596828,-2.0665038,-1.8439208,.047611155,.055195238
3576,-4.7510266,-4.0348353,-1.1021413,-1.0884444,-2.7086999,-1.4591973,.015368333,.077513248
3577,-5.1431494,-4.1179132,-1.6479565,-1.6149234,-2.0178103,-1.405156,.073165052,.04593974
3578,-4.3474326,-3.733732,-1.2540454,-1.2987468,-2.2221274,-1.4175454,.043868944,.012128373
3579,-4.411305,-4.0141406,-1.1692433,-1.1308405,-2.4859245,-2.0607729,.035837755,.043952238
3601,-5.7957125,-4.8073802,-2.6729772,-2.6587076,-3.5456448,-2.7857766,-.19378661,.043515578
3602,-5.783133,-5.0186572,-3.0822554,-2.9717829,-3.6598439,-3.0885694,.028506041,.12082065
3603,-4.2787013,-3.9593935,-1.5388813,-3.3088877,-3.2591076,-2.3567822,.094556861,-.0022139912
3604,-4.4667773,-3.7632196,-1.1730038,-.98817939,-3.4744272,-2.9697502,-.11753999,.027796911
3671,-4.3749552,-4.0997825,-1.2059724,-1.0164098,-2.2453578,-1.5864503,.074366458,.017972728
3672,-3.474051,-2.9854848,-.83026969,-.93281955,-2.3386745,-1.9724319,-.047724243,.030135639
3673,-4.4278259,-3.9467893,-.92914301,-.94026875,-2.6288397,-1.7994045,.014978108,.050467156
3674,-4.2032037,-4.0420928,-.85789812,-.92155588,-1.2802302,-1.3291917,.02680994,.021464318
