ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
98058,RENTON,WA,38590,Seattle,354,2092,,47897,382,2794,,59684,42660,13,12,1,10,9,1,366249,187700,178549,352619,181948,170671,109,90,19,100,90,10,1786327,1432035,354292,1878709,1492857,385852,1,0,1,1,1,0,120552,78486,42066,137293,89935,47358,609,19,474,382,2.21,0.04,-21.66,-19.41,83
98188,SEATTLE,WA,22182,Seattle,1407,35897,,1128305,1391,39267,,1331622,42660,70,33,37,66,30,36,366249,187700,178549,352619,181948,170671,376,245,131,361,231,130,1786327,1432035,354292,1878709,1492857,385852,55,37,18,38,26,12,120552,78486,42066,137293,89935,47358,648,19,1407,1398,2.21,-0.12,-2.73,-0.64,84
98148,SEATTLE,WA,8749,Seattle,336,3329,,85372,335,4002,,111904,42660,17,12,5,16,11,5,366249,187700,178549,352619,181948,170671,102,76,26,71,58,13,1742649,1410483,332166,1831150,1468265,362885,1,1,0,3,2,1,120552,78486,42066,137293,89935,47358,641,17,336,341,2.21,0.13,-0.85,1.49,85
98158,SEATTLE,WA,1,Seattle,74,6988,,246335,65,8088,,289357,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,19,13,6,6,3,3,1099097,852437,246660,1142255,879677,262578,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,643,12,74,71,2.21,0.80,-7.06,-4.05,86
98038,MAPLE VALLEY,WA,22209,Seattle,393,2484,,60035,431,3031,,77336,42660,20,17,3,17,13,4,366249,187700,178549,352619,181948,170671,102,84,18,116,105,11,1786327,1432035,354292,1878709,1492857,385852,12,12,0,6,5,1,120552,78486,42066,137293,89935,47358,597,19,447,431,2.21,0.30,-6.09,-3.58,87
98032,KENT,WA,30728,Seattle,1794,49019,,2010423,1849,55297,,2517559,42660,272,115,157,225,87,138,366249,187700,178549,352619,181948,170671,354,260,94,372,249,123,1786327,1432035,354292,1878709,1492857,385852,33,19,14,35,25,10,120552,78486,42066,137293,89935,47358,592,19,1934,1849,2.21,-1.36,-5.25,-4.40,88
98031,KENT,WA,66020,Seattle,1006,16579,,470533,1018,16544,,540223,42660,62,22,40,63,31,32,366249,187700,178549,352619,181948,170671,209,174,35,223,178,45,1786327,1432035,354292,1878709,1492857,385852,16,8,8,8,5,3,120552,78486,42066,137293,89935,47358,591,19,1102,1018,2.21,0.01,-9.84,-7.62,89
98051,RAVENSDALE,WA,2810,Seattle,52,316,,8178,62,407,,11454,42660,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,11,9,2,11,8,3,1786327,1432035,354292,1878709,1492857,385852,1,0,1,1,1,0,120552,78486,42066,137293,89935,47358,604,17,57,62,2.21,0.06,6.51,8.77,90
98198,SEATTLE,WA,31638,Seattle,478,4059,,90206,487,4011,,99205,42660,10,10,0,11,10,1,366249,187700,178549,352619,181948,170671,102,85,17,112,97,15,1786327,1432035,354292,1878709,1492857,385852,6,6,0,4,3,1,120552,78486,42066,137293,89935,47358,650,17,478,515,2.21,0.25,5.27,7.74,91
98042,KENT,WA,38605,Seattle,506,3168,,69094,508,4014,,105229,42660,18,15,3,19,16,3,366249,187700,178549,352619,181948,170671,131,119,12,139,126,13,1742649,1410483,332166,1831150,1468265,362885,7,7,0,6,6,0,120552,78486,42066,137293,89935,47358,600,17,524,508,2.21,0.48,-5.75,-3.05,92
98022,ENUMCLAW,WA,22309,Seattle,573,5046,,106379,552,4782,,115536,42660,29,23,6,19,14,5,366249,187700,178549,352619,181948,170671,85,75,10,97,82,15,1786327,1432035,354292,1878709,1492857,385852,7,5,2,6,5,1,120552,78486,42066,137293,89935,47358,584,19,573,559,2.21,-0.21,-4.44,-2.44,93
98003,FEDERAL WAY,WA,41949,Seattle,1497,21124,,647861,1463,22734,,845883,42660,17,9,8,15,13,2,366249,187700,178549,352619,181948,170671,418,327,91,454,352,102,1786327,1432035,354292,1878709,1492857,385852,30,26,4,28,16,12,120552,78486,42066,137293,89935,47358,571,19,1497,1603,2.21,0.57,4.30,7.08,94
98001,AUBURN,WA,25888,Seattle,757,23258,,889232,780,22893,,1039549,42660,105,56,49,100,53,47,366249,187700,178549,352619,181948,170671,127,97,30,124,95,29,1786327,1432035,354292,1878709,1492857,385852,6,6,0,14,9,5,120552,78486,42066,137293,89935,47358,569,18,845,780,2.21,-1.16,-8.74,-7.69,95
98010,BLACK DIAMOND,WA,4682,Seattle,75,289,,7744,80,416,,11574,42660,4,3,1,3,2,1,366249,187700,178549,352619,181948,170671,21,18,3,18,18,0,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,577,17,87,80,2.21,-0.35,-9.90,-8.05,96
98002,AUBURN,WA,30822,Seattle,935,15123,,382426,912,14303,,428270,42660,72,36,36,63,32,31,366249,187700,178549,352619,181948,170671,178,155,23,185,150,35,1786327,1432035,354292,1878709,1492857,385852,21,9,12,13,10,3,120552,78486,42066,137293,89935,47358,570,20,959,912,2.21,-0.17,-6.94,-4.90,97
98092,AUBURN,WA,26968,Seattle,226,1420,,25207,234,1323,,30789,42660,21,18,3,13,8,5,366249,187700,178549,352619,181948,170671,49,43,6,44,40,4,1786327,1432035,354292,1878709,1492857,385852,5,5,0,3,1,2,120552,78486,42066,137293,89935,47358,616,19,231,234,2.21,-0.51,-0.40,1.30,98
98023,FEDERAL WAY,WA,49272,Seattle,398,2206,,43834,408,2866,,57286,42660,3,3,0,3,3,0,366249,187700,178549,352619,181948,170671,127,113,14,102,89,13,1786327,1432035,354292,1878709,1492857,385852,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,585,18,464,408,2.21,0.19,-14.47,-12.07,99
98422,TACOMA,WA,19679,Seattle,202,1565,,44322,216,1780,,54027,42660,13,7,6,12,4,8,366249,187700,178549,352619,181948,170671,53,51,2,58,54,4,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,708,17,208,216,2.21,-0.07,1.71,3.85,100
98407,TACOMA,WA,19628,Seattle,279,2082,,36468,267,2014,,40667,42660,1,1,0,2,2,0,366249,187700,178549,352619,181948,170671,86,79,7,85,80,5,1786327,1432035,354292,1878709,1492857,385852,8,7,1,3,3,0,120552,78486,42066,137293,89935,47358,702,17,279,270,2.21,1.17,-6.60,-3.23,101
98403,TACOMA,WA,7658,Seattle,185,1699,,37649,186,1943,,45795,42660,5,4,1,4,3,1,366249,187700,178549,352619,181948,170671,65,56,9,64,56,8,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,1,1,120552,78486,42066,137293,89935,47358,698,17,185,194,2.21,1.06,1.59,4.86,102
98406,TACOMA,WA,22732,Seattle,422,3953,,66711,430,4085,,82961,42660,6,6,0,6,5,1,366249,187700,178549,352619,181948,170671,113,100,13,114,100,14,1742649,1410483,332166,1831150,1468265,362885,9,9,0,4,3,1,120552,78486,42066,137293,89935,47358,701,16,482,430,2.21,0.21,-13.21,-10.79,103
98047,PACIFIC,WA,4985,Seattle,109,2334,,76917,118,2633,,93436,42660,15,8,7,13,9,4,366249,187700,178549,352619,181948,170671,17,13,4,13,9,4,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,0,1,120552,78486,42066,137293,89935,47358,603,15,114,118,2.21,-1.88,3.18,3.51,104
98421,TACOMA,WA,604,Seattle,362,11045,,388953,348,10868,,397495,42660,75,14,61,73,11,62,366249,187700,178549,352619,181948,170671,49,30,19,51,27,24,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,707,15,362,380,2.21,-2.23,5.00,4.97,105
98424,TACOMA,WA,5693,Seattle,545,10233,,318160,570,11360,,387074,42660,37,13,24,36,13,23,366249,187700,178549,352619,181948,170671,124,84,40,144,90,54,1786327,1432035,354292,1878709,1492857,385852,21,16,5,16,12,4,120552,78486,42066,137293,89935,47358,709,18,565,570,2.21,-0.49,-0.83,0.88,106
98402,TACOMA,WA,4456,Seattle,742,12521,,450465,737,13990,,657509,42660,38,20,18,37,20,17,366249,187700,178549,352619,181948,170671,315,214,101,331,215,116,1786327,1432035,354292,1878709,1492857,385852,10,5,5,20,12,8,120552,78486,42066,137293,89935,47358,697,19,742,747,2.21,0.82,-2.36,0.67,107
