NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP2000,POP2001,POP00_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS97,AVG_SIZE97,CROP_ACR97,AVG_SALE97
Effingham,Georgia,13,103,13103,482.82166,37535,39061,77.7,31776,4876,119,170,9,195,390,531,18646,18889,2857,8377,1855,3688,6277,6115,5350,3016,33.6,33.2,34.0,13151,2.84,1098,1127,4437,4017,331,893,10490,3.18,14169,1018,10869,2282,203,259,24724,40.49
Bryan,Georgia,13,029,13029,448.23375,23417,23953,52.2,19386,3311,74,181,16,135,314,465,11603,11814,1800,5489,1168,2155,3861,4010,3231,1703,33.3,32.6,33.9,8089,2.88,583,741,2785,2425,202,652,6510,3.22,8675,586,6304,1785,61,418,5871,29.21
Chatham,Georgia,13,051,13051,482.18580,232048,232527,481.2,128279,93971,580,4013,151,2073,2981,5403,111790,120258,15663,42420,15041,28557,33496,32787,34314,29770,34.4,32.5,36.1,89865,2.49,10466,13930,16813,23790,1660,8860,59431,3.05,99683,9818,54293,35572,42,207,1900,69.87
