NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP2000,POP2001,POP00_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS97,AVG_SIZE97,CROP_ACR97,AVG_SALE97
Clinton,Michigan,26,037,26037,574.54968,64753,65705,112.7,62420,405,282,337,28,523,758,1688,32194,32559,4455,13737,2970,5001,9940,10935,10681,7034,36.7,36.0,37.3,23653,2.70,2080,2593,7094,8109,468,1292,17976,3.12,24630,977,20173,3480,1123,217,209822,81.49
Ingham,Michigan,26,065,26065,560.81551,279320,277945,498.1,221935,30340,1528,10273,143,6746,8355,16190,134801,144519,17671,47680,33509,39194,38667,39780,36568,26251,30.4,29.3,31.5,108593,2.42,14081,18673,21513,25147,2249,8562,63767,3.04,115056,6463,65986,42607,827,230,158791,64.56
Eaton,Michigan,26,045,26045,579.17684,103655,104607,179.0,93549,5481,453,1173,31,1209,1759,3323,50381,53274,6599,20501,5710,9907,14899,17180,17108,11751,36.4,35.3,37.5,40167,2.54,4015,5834,9977,12645,912,2694,28251,3.03,42118,1951,29791,10376,1062,218,190456,51.74
