id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,Country,GID_nmbr,GPDpc2018,iso3
000000000000000000eb,-0.027304397283214,0.043758276405131,-0.098128769914189,-0.178854630381765,-0.170114526657446,-0.080228748654606,0.050352137000583,0.082508001475610,0.188366856638633,0.086274162257932,0.198471348362207,-0.030425421225158,0.119722286007959,0.080270662934722,0.088055053524775,-0.079533070747954,0.107961151452350,0.064118367731254,-0.072676709020529,0.088018676791595,-0.007081812509977,0.158316784874623,-0.055580984683358,0.121692746783555,-0.097093875789959,-0.034738901639539,-0.153610958793015,-0.137922187248208,-0.077093803563253,-0.108943107940158,-0.035001641806893,0.099984402909279,0.105654293764877,-0.239293405705802,-0.021452402607855,-0.157062765129872,0.069527537750846,0.095771134707043,0.011347758192386,0.130378161723753,-0.002146459513768,-0.119025439649766,-0.038472395142363,-0.021493858200441,0.148747405985074,-0.004037707214279,-0.039632886769416,-0.047271748877588,-0.076591704459515,-0.002025509348713,0.001418624887318,-0.037414458651083,0.019616720403345,-0.195610801717714,0.056438347680574,-0.204938999916332,-0.043207200158421,0.031694678833001,-0.123333208508656,0.033712070780514,0.085464234286519,-0.049397884204358,0.014628199680498,0.205321971723116, ,904.000000000000000,0.000000000000000, 
000000000000000000ec,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,907.000000000000000,0.000000000000000, 
000000000000000000ed,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,908.000000000000000,0.000000000000000, 
000000000000000000ee,-0.072317548562600,-0.104375548634719,-0.197166189754973,-0.168750483396025,-0.082729321492512,0.019635611771365,0.112223725274872,0.127789253227445,0.003189675005340,0.130699385276068,0.120901667577753,-0.036725479254136,-0.053991125405458,-0.117906307406390,0.064380328412435,0.010144225340840,-0.012535645602350,-0.087902087846738,0.018885883955104,0.057820363722809,0.138255301939144,0.274999338445962,-0.155143947340533,0.128525332435297,-0.145822494191574,-0.232514165187571,-0.009228063790070,-0.149066570565018,0.106750991317698,-0.080300160668479,-0.119874974135896,0.390178813593097,-0.041953421113014,0.007500695235070,-0.106850700292497,0.032383100870953,0.119952495569978,-0.018038951392683,0.028691814436189,0.107950509338034,0.010442833050167,-0.257364585675630,0.147041842666166,0.043932885454103,-0.073640551671635,0.033694979281655,-0.123402111757342,0.052205709730332,-0.126887193895362,0.014632606251823,0.132315250051845,0.142268477349559,-0.229743358973326,0.063520877518454,0.016312165783122,-0.063856441344430,0.032085956148492,0.062855191315406,-0.014607836693927,0.006926440556470,0.154878018315405,-0.218938865448062,0.043879694963021,0.116367143067580, ,909.000000000000000,0.000000000000000, 
000000000000000000ef,-0.042901342482337,-0.075808828325663,-0.175370936049780,-0.186780966888080,-0.047914037771709,0.029623828786894,0.093121269135161,0.162002386895883,0.017096029728405,0.085647405805591,0.050016030639210,0.066971993307028,-0.035305528829818,-0.096970381825137,0.040024188689398,0.004374658356788,-0.031423489397994,-0.063429529529007,-0.011393388446377,0.061999844399353,0.130195962208316,0.222622490681081,-0.100964685231671,0.104666241034869,-0.146595629306583,-0.157203954435617,-0.022623848100776,-0.079003772510214,0.043652950430380,-0.047214089566537,-0.088286500567164,0.304158048923240,-0.055745137504676,0.019581902197817,-0.057607392198824,0.038121031446122,0.109638951843533,-0.041843710789913,-0.003766365622588,0.068540818524662,0.062832258302276,-0.302029799486346,0.151156205657191,0.029377210021115,-0.070576011252923,-0.015196532105498,-0.109141172708570,0.029444278223213,-0.094732314252782,0.013169504046985,0.063908666110729,0.063400736672582,-0.189075610719798,0.113304659863294,0.032205559502980,-0.070829318468170,0.017423934806457,0.025994927390787,-0.042712913039478,0.082591103074615,0.143103471366549,-0.227921127495340,0.090720305107082,0.059117755812909, ,911.000000000000000,0.000000000000000, 
000000000000000000f0,-0.061344522816547,0.051750502278062,-0.152570830061877,-0.191131539588426,-0.125086433375251,-0.063543673492235,0.011335876402149,0.108004097958674,0.182119337237861,0.058775565154956,0.191320964109179,-0.042072863886406,0.101385677565381,0.076421107390769,0.043388656367385,-0.129265332411364,0.206591647487133,-0.033134191208333,-0.003601867555594,0.070953269648978,0.066122048330379,0.144545004149676,-0.041835903971652,0.075216439457531,-0.084122407070085,-0.028576623047075,-0.088687823499943,-0.147770922766345,-0.073427735237988,-0.054883701324574,-0.060309392773299,0.134449466662828,0.111876897366739,-0.253212838732210,0.003569158574797,-0.141573514487388,0.097964592579092,0.126415423513656,-0.009107181595634,0.125123473772514,-0.012915804371772,-0.103471634561961,-0.030452908500094,-0.005149521140313,0.049283105444384,0.022556898114977,-0.082565633869966,-0.069088893540379,-0.092544153569446,0.019003209923446,0.006818580980064,-0.022283840452824,0.034830329672225,-0.181037690332298,0.058226918509999,-0.201060408711405,-0.113003716889064,0.046986819323928,-0.070029185847903,0.062590243934435,0.034528104678172,-0.068066599084535,0.029967230903367,0.243975770948043, ,917.000000000000000,0.000000000000000, 
000000000000000000f1,-0.039120294550058,-0.115082757362421,-0.173253294696889,-0.144645124520131,-0.063159057335444,0.019720063069160,0.135369571847582,0.097322892921336,0.011404652477106,0.141934704594124,0.133782376340589,-0.036975635356876,-0.107597327368504,-0.117193211273002,0.070431969280057,-0.024350157258698,-0.000928254528299,-0.103006180974585,-0.020030707576699,0.007833525967285,0.098492614618001,0.241515485332506,-0.110634014021318,0.153978026963310,-0.099343051393025,-0.211084298233935,0.027720625503471,-0.195368691218081,0.066505819018051,-0.052061974065992,-0.115042575564954,0.405730360811575,-0.038037047628870,0.008800561609908,-0.120058774065287,0.038161564358169,0.166101279315948,-0.008077383101286,0.083364234804599,0.105989025767647,0.044646721098814,-0.263746535460274,0.149480333348180,0.074508551510743,-0.128114927212300,0.032246104470072,-0.134446551672181,0.052267200559057,-0.107867498536386,0.020309942365090,0.101395654488607,0.131282219564126,-0.229633155282495,0.066589737546796,0.062650838066742,-0.011286251330499,-0.013610572348346,0.100526900579951,0.021011020695013,-0.006955282830542,0.132788154638780,-0.144134286574248,0.036833961259586,0.150806212606012, ,918.000000000000000,0.000000000000000, 
000000000000000000f2,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, ,924.000000000000000,0.000000000000000, 
000000000000000000f3,-0.019575130326101,-0.030392093563928,-0.137548132121644,-0.247637881458437,-0.076072012333876,0.002341688919507,0.088115033415415,0.171610324993884,0.061642722449499,0.095136696094486,0.010995911599250,0.092864524033456,0.026547064088213,-0.050191491664650,0.022007211094954,0.032424697184075,-0.055628733498504,-0.081465896207740,0.005125488832012,0.090611628093416,0.069571495756631,0.192359762187811,-0.081719556703780,0.109720412146458,-0.176616290245067,-0.168739747855040,-0.029708602264357,-0.039210368560811,0.010403807063673,-0.102276660431043,-0.067222700904473,0.244073694317663,-0.062471406478149,-0.000678935711512,-0.009704265058312,-0.003313916010659,0.118254109324283,-0.042508544951668,-0.020861592801206,0.080823380327833,0.090932140548028,-0.227584345372707,0.167443823881760,0.048745048315379,0.023005538580810,0.009135690254168,-0.074822525651484,0.034258450996934,0.009947140189112,0.021313951765404,0.063498275052497,-0.006973582728045,-0.200232984575681,0.089068412829455,0.031595156617990,-0.098142590383556,0.046836041120322,-0.030445023723864,-0.076188900091531,0.085786784251390,0.138282304163209,-0.190800941127076,0.056331076679051,-0.022041083734865, ,925.000000000000000,0.000000000000000, 
000000000000000000f4,-0.056939462737509,-0.092416749051935,-0.167243762777786,-0.211007061709042,-0.103078713602834,0.005638612992778,0.069047928234809,0.165356388566351,0.033643758292752,0.107823041183894,0.099275798507342,-0.016087338758807,-0.024996627759051,-0.079162218524178,0.073132364773267,-0.004959663599919,-0.009696485192248,-0.093348048886103,0.000113266101050,0.080110325286909,0.109946740157026,0.241962466904637,-0.132221163822041,0.128026643354329,-0.148277575057852,-0.208369703032077,-0.028096366777027,-0.147099644724462,0.083228717268014,-0.109298872943525,-0.118864393723133,0.377078107010123,-0.018098765649503,-0.011548910815294,-0.042826343360824,-0.008405219396774,0.130073418128018,0.014358641973974,0.036941994532441,0.056139027960986,0.027632826044651,-0.231962139607255,0.148566191478553,0.028322831961370,0.006468116135375,0.022564889869527,-0.123612394627100,0.047319605085685,-0.094114472854174,0.025841145222388,0.087276592574026,0.066293370498663,-0.218256149820866,-0.008559222920677,-0.018693544489413,-0.105299517087270,-0.007358550603699,0.038755676393726,-0.071560582801173,0.028452238094007,0.143049004350173,-0.202636245385492,0.058152113892647,0.120791922349806, ,926.000000000000000,0.000000000000000, 
