NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP2000,POP2001,POP00_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS97,AVG_SIZE97,CROP_ACR97,AVG_SALE97
Caldwell,North Carolina,37,027,37027,475.28992,77415,78507,162.9,71017,4223,162,301,26,1098,588,1927,38235,39180,4968,13181,3372,8046,12177,11686,13726,10259,37.5,36.4,38.7,30768,2.48,3149,3951,6963,10659,740,1860,22399,2.89,33430,2662,23053,7715,331,112,17774,71.64
Alexander,North Carolina,37,003,37003,263.07665,33603,34494,127.7,30915,1557,50,348,1,451,281,841,16749,16854,2316,5918,1495,3586,5404,4986,5902,3996,36.6,35.4,37.8,13137,2.54,1335,1548,3306,4639,293,710,9744,2.95,14098,961,10571,2566,565,106,34730,82.82
Burke,North Carolina,37,023,37023,513.41046,89148,90376,173.6,76678,5984,270,3106,185,1931,994,3180,44574,44574,5509,15863,4879,9057,13635,13064,15155,11986,36.9,35.0,38.9,34528,2.48,3719,5074,7776,11164,875,2061,24331,2.94,37427,2899,25589,8939,354,83,14222,79.78
Catawba,North Carolina,37,035,37035,413.56292,141685,145203,342.6,120422,11862,365,4146,75,3198,1617,7886,69882,71803,9264,25128,7096,16030,22247,21350,23145,17425,36.1,34.7,37.5,55533,2.51,5867,7816,12900,17722,1240,3360,39111,2.98,59919,4386,40284,15249,596,121,47827,40.93
